Grupo,Nombre del producto,Tipo,Tutor(es)/Cotutor(es),Institución,Estudiante orientado,Programa académico,Tipo de orientación,DOI,Año,Valoración,Número de Páginas,Palabras,Area,Sectores
NATURATU,Uso de marcadores mitocondriales en el manejo y conservación del caimán aguja (Crocodylus acutus) en Colombia., Trabajo de grado de maestría o especialidad clínica , SERGIO ALEJANDRO BALAGUERA REINA, UNIVERSIDAD DEL TOLIMA,JUAN FELIPE MONCADA  JIMENE, BIOLOGIA, Coturor/asesor,, 2021, Aprobada, 0,,,
NATURATU,Calidad en procesos educativos: Análisis semiótico de criterios educativos, Trabajos dirigidos/Tutorías de otro tipo , MAXIMILIANO MACHADO HIGUERA, UNIVERSIDAD DE IBAGUÉ,Leonardo Uribe Kaffure, Estancia Postdoctoral, Tutor principal,, 2020, , 0,,,
NATURATU,Evaluación de los niveles de ruido ambiental en la Universidad de Ibagué, Trabajos de grado de pregrado ," SERGIO ALEJANDRO BALAGUERA REINA , YAIR GUILLERMO MOLINA MARTÌNEZ", UNIVERSIDAD DE IBAGUÉ,"Suarez Baquero Oscar Mauricio, Delgado Leidy Natalia", Administración Ambiental, Tutor principal,,, , 0,,,
NATURATU,CARACTERIZACIÓN DE IONES MERCÚRICOS EN SOLUCIONES ACUOSAS A TRAVÉS DE SENSORES QUÍMICOS MEDIANTE TÉCNICAS ESPECTROFOTOMÉTRICAS Y ESPECTROFLUORESCENTES, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,Camilo Andres Sandoval Diaz, Administración Ambiental, Tutor principal,, 2020, Distincion meritoria, 54,,,
NATURATU,Implementación de técnicas de aprendizaje de máquina para la optimización del proceso de deposición por arco catódico de películas de TiNbNx sobre acero AISI D2, Trabajo de grado de maestría o especialidad clínica ," JEFERSON  FERNANDO PIAMBA JIMENEZ , MANUEL GUILLERMO FORERO VARGAS", UNIVERSIDAD DE IBAGUÉ,CLAUDIA LORENA MAMBUSCAY LOZAN, MAESTRIA EN INGENIERIA DE CONTROL, Tutor principal,, 2021, Distincion meritoria, 0,,,
NATURATU,"SÍNTESIS DE QUELANTES DE HIERRO A PARTIR DE DERIVADOS DE 7,8-DIHIDROXICUMARINAS Y EVALUACIÓN DE SU ACTIVIDAD CITOTÓXICA", Trabajos de grado de pregrado ," MARCO FIDEL AVILA RODRIGUEZ , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DEL TOLIMA,FREDY ALEJANDRO RÚGELES CASASBUENAS, Biología, Tutor principal,, 2020, Distincion meritoria, 69,,,
NATURATU,DETERMINACIÓN DE LA SELECTIVIDAD Y SENSIBILIDAD DE SENSORES QUÍMICOS POR IONES DE COBRE, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,RUBÉN ALEJANDRO VIVAS GASPAR, Administración Ambiental, Tutor principal,, 2020, Distincion meritoria, 54,,,
NATURATU,Estudio de la congruencia de fase para la segmentación de imágenes de diatomeas, Trabajo de grado de maestría o especialidad clínica ," MANUEL GUILLERMO FORERO VARGAS , MAXIMILIANO MACHADO HIGUERA", UNIVERSIDAD DE IBAGUÉ,Carlos antonio Jacanamejoy jamioy, Maestría en Ingeniería de Control, Coturor/asesor,, 2020, Aprobada, 0,,,
NATURATU,Sexual comparison of the biomechanical functions and toxicological properties of Phoneutria boliviensis (Araneae: Ctenidae) under a variable diet and stress conditions., Tesis de doctorado , LIDA MARCELA FRANCO PEREZ, UNIVERSIDAD DEL TOLIMA,JULIO CESAR GONZALEZ GOME, BIOLOGIA, Coturor/asesor,, 2021, Aprobada, 0,,,
NATURATU,Caracterización genética de Caiman crocodilus fuscus en el departamento del Tolima mediante marcadores mitocondriales, Trabajos de grado de pregrado , SERGIO ALEJANDRO BALAGUERA REINA, UNIVERSIDAD DEL TOLIMA,Felipe Hernández y Diana Díaz, Biología, Coturor/asesor,, 2020, Distincion laureada, 0,,,
NATURATU,"Servicios ecosistémicos (microclima, secuestro y fijación de carbono) en un relicto boscoso húmedo tropical urbano en el municipio de Ibagué ¿ Tolima", Trabajos de grado de pregrado , SERGIO ALEJANDRO BALAGUERA REINA, UNIVERSIDAD DE IBAGUÉ,Jorge Mario Pinzon, Biología Ambiental, Tutor principal,, 2020, Aprobada, 0,,,
NATURATU,Analisis de estabilidad según Lyapunov a partir del modelo AMOCO y diseño de un control para el proceso de producción de biogás, Trabajo de grado de maestría o especialidad clínica ," JAIRO ANDRES HERNANDEZ NARANJO , MAXIMILIANO MACHADO HIGUERA", UNIVERSIDAD DE IBAGUÉ,Nohora Meneses Casas, Maestría en Ingeniería de Control, Tutor principal,, 2020, Aprobada, 0,,,
NATURATU,Relación entre el comportamiento depredador y fuerza de los pedipalpos de Chactas sp. Gervais 1844 (SCORPIONES : CHACTIDAE), Trabajos de grado de pregrado , LIDA MARCELA FRANCO PEREZ, UNIVERSIDAD DE IBAGUÉ,Maria Laura Medina y Juan Camilo Avilés, Administración Ambiental, Tutor principal,, 2019, Distincion meritoria, 74,,,
NATURATU,Propuesta para la Implementación del Sistema de Gestión Ambiental (S.G.A) en la Sede principal de la Caja de Compensación Comfenalco de la Calle 37 con Carrera 5, Trabajos dirigidos/Tutorías de otro tipo , MARIA ALEJANDRA RIVERA MONTALVO, Comfenalco-Corporación Región,Lina María Galeano y María Alejandra Torres, Administración Ambiental, Tutor principal,,, , 0,,,
NATURATU,"Comparación de las estrategias de adaptación vocal del canto entre aves suboscines y oscines del neotrópico a ambientes ruidosos, teniendo como caso de estudio la ciudad de Ibagué - Tolima", Trabajo de grado de maestría o especialidad clínica ," LEANDRO GONZALEZ TAMARA , YAIR GUILLERMO MOLINA MARTÌNEZ", Universidad Jorge Tadeo Lozano,Luisa Fernanda Ruiz Jaramillo, Maestría en Ciencias Ambientales, Tutor principal,, 2021, Distincion laureada, 24,,,
NATURATU,DETECCIÓN DE IMIDACLOPRID Y TIMEROSAL USANDO ELECTRODOS SERIGRAFÍADOS DE CARBONO, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,JOAN SEBASTIAN PAEZ QUINTERO, Administración Ambiental, Coturor/asesor,, 2019, Aprobada, 36,,,
NATURATU,DETECCIÓN DE LOS COLORANTES SINTÉTICOS AMARILLO CREPUSCULO Y TARTRAZINA EN ALIMENTOS USANDO ELECTRODOS SERIGRAFIADOS DE CARBONO MODIFICADOS CON QUITOSANO, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,Juan David Barrero Ramirez, Administración Ambiental, Coturor/asesor,, 2019, Aprobada, 35,,,
NATURATU,ESTUDIO DE IMANES PERMANENTES BASADOS EN ACOPLAMIENTO DE INTERCAMBIO Y NITROGENACION, Tesis de doctorado , JUAN SEBASTIAN TRUJILLO HERNANDEZ, UNIVERSIDAD DEL VALLE - SEDE CALI,Hugo Martinez Sanchez, Doctorado en Ciencias - Física, Coturor/asesor,, 2021, Distincion meritoria, 0,,,
NATURATU,Implementación de Estrategias de Educación Ambiental en el marco del plan de gestión integral de residuos (PGIRS) en el municipio de Rioblanco, Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Melany Gaitan Campos, Administración Ambiental, Tutor principal,, 2020, Distincion meritoria, 60,,,
NATURATU,Identificación de los metabolitos secundarios de líquenes del género Sticta spp. procedentes del páramo de Anaime (Anaime-Tolima), Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITEZ , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,Santiago Sánchez Charry, Administración Ambiental, Coturor/asesor,, 2019, Distincion meritoria, 0,,,
NATURATU,"Evaluación de la calidad atmosférica de 10 zonas de tráfico vehicular y 10 zonas verdes en el municipio de Melgar-Tolima, por medio de índices basados en comunidades liquénicas", Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITEZ , MIGUEL MORENO", UNIVERSIDAD DE IBAGUÉ,Daniela Sánchez - Carolina Villarraga, Administración Ambiental, Coturor/asesor,, 2019, Aprobada, 0,,,
NATURATU,"DESCIFRANDO LA DIETA DE Phoneutria boliviensis, ARANEAE: MEDIANTE METABARCODING DE CONTENIDO ESTOMACAL", Trabajo de grado de maestría o especialidad clínica ," CARLOS PRADA QUIROGA , LIDA MARCELA FRANCO PEREZ", UNIVERSIDAD DEL TOLIMA,DIEGO SIERRA RAMÍREZ, Maestría en Ciencias Biológicas, Coturor/asesor,, 2020, Aprobada, 92,,,
NATURATU,IMPLENTACIÓN DEL PLAN DE MANEJO DE RESIDUOS SÓLIDOS DE LA UNIVERSIDAD DE IBAGUÉ, Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Valeria Basto y Paula Rodriguez , Administración Ambiental, Tutor principal,, 2018, Aprobada, 70,,,
NATURATU,"RELACIÓN DE LA ACTIVIDAD UREASICA Y LA RESPIRACIÓN BASAL DEL SUELO EN UN AGROECOSISTEMA DEL MUNICIPIO DE IBAGUÉ, TOLIMA", Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Cesar Augusto Cadenas y Diego Alexander Sanchez, Administración Ambiental, Tutor principal,, 2018, Distincion meritoria, 70,,,
NATURATU,DIAGNÓSTICO DE LA SITUACIÓN ACTUAL DE RESIDUOS PELIGROSOS PRODUCIDOS EN LA UNIVERSIDAD DE IBAGUÉ, Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Paula Forero Roys, Administración Ambiental, Tutor principal,, 2018, Aprobada, 76,,,
NATURATU,DETERMINACIÓN DE IMIDACLOPRID EN MIEL UTILIZANDO TÉCNICAS ELECTROANALÍTICA Y CROMATOGRÁFICA, Trabajos de grado de pregrado , OLIMPO JOSE GARCIA BELTRAN, UNIVERSIDAD DE IBAGUÉ,KARLA ESTEFANÍA RIVERA GUZMÁN, Administración Ambiental, Tutor principal,, 2019, Distincion meritoria, 39,,,
NATURATU,Elaboración de una crema bloqueadora a partir del extracto metanólico del liquen Usnea subfloridana Stirton, Trabajos de grado de pregrado , OLIMPO JOSE GARCIA BELTRAN, UNIVERSIDAD DE IBAGUÉ,Nicolás Barragán Novoa, Ingeniería Insdustrial, Tutor principal,, 2018, Aprobada, 62,,,
NATURATU,¿Síntesis de tiocumarinas 3-azometino-sustituidas como quimiosensores para la detección de iones mercurio en medio acuoso, Trabajo de grado de maestría o especialidad clínica ," DIEGO LUIS DURANGO RESTREPO , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MEDELLÍN,ASTRID YHULEIDY DÍAZ NÚÑEZ, Maestría en Ciencias Químicas, Coturor/asesor,, 2021, Distincion meritoria, 153,,,
NATURATU,Estudio y validación de técnicas de control en un prototipo de espectrofotómetro Ultra violeta - Visible, Trabajo de grado de maestría o especialidad clínica ," OLIMPO JOSE GARCIA BELTRAN , OSWALDO LOPEZ SANTOS", UNIVERSIDAD DE IBAGUÉ,David Fernando Gonzalez Morales, Maestría en Ingeniería de Control, Coturor/asesor,, 2019, Aprobada, 68,,,
NATURATU,Estado y manejo de las zonas verdes del campus de la Universidad de Ibagué, Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITEZ , MARIA ALEJANDRA RIVERA MONTALVO", UNIVERSIDAD DE IBAGUÉ,María Camila Duque Orjuela, Administración Ambiental, Tutor principal,, 2019, Aprobada, 0,,,
NATURATU,Líquenes cortícolas como bioindicadores de calidad atmosférica en reservas de la Sociedad Civil del municipio de Ibagué, Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITEZ , MIGUEL MORENO", UNIVERSIDAD DE IBAGUÉ,Estefanía Díaz - Juan David Morales, Administración Ambiental, Coturor/asesor,, 2019, Distincion meritoria, 0,,,
NATURATU,DETERMINACIÓN DE IMIDACLOPRID EN MIEL UTILIZANDO TÉCNICAS ELECTROANALÍTICA Y CROMATOGRÁFICA, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,KARLA ESTEFANÍA RIVERA GUZMÁN, Administración Ambiental, Tutor principal,, 2019, Distincion meritoria, 39,,,
NATURATU,DETERMINACIÓN ESPECTROSCÓPICA Y ELECTROQUÍMICA DE NIVELES DE IONES DE MERCURIO EN EL RÍO BERMELLÓN, Trabajo de grado de maestría o especialidad clínica ," GIOVANY GUEVARA CARDONA , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DEL TOLIMA,Asmilly Yusmairi Valencia Lara , Maestría en Gestión Ambiental y Evaluación del Impacto Ambiental, Tutor principal,,, , 0,,,
NATURATU,Evaluación de la dinámica de calidad atmosférica a través de un gradiente altitudinal en la ciudad de Ibagué, Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITEZ , MIGUEL MORENO", UNIVERSIDAD DE IBAGUÉ,Daniel Felipe Pedroza - Juan David Díaz, Administración Ambiental, Coturor/asesor,, 2019, Aprobada, 0,,,
NATURATU,Evaluación de la cantidad de materia orgánica y la actividad biológica con respecto a la altitud en algunos sistemas agrícolas del departamento del Tolima, Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Diego Mauricio Briñez Varón, Administración Ambiental, Tutor principal,, 2020, Aprobada, 64,,,
NATURATU,"EVALUACIÓN DE LA CALIDAD ATMOSFÉRICA EN EL MUNICIPIO DE MELGAR-TOLIMA, POR MEDIO DE ÍNDICES BASADOS EN COMUNIDADES LIQUÉNICAS", Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITES , MIGUEL CESAR MORENO PALACIOS", UNIVERSIDAD DE IBAGUÉ,"DANIELA SANCHEZ ANGARITA, CAROLINA VILLARRAGA ARTEAGA", Administración Ambiental, Tutor principal,, 2018, Aprobada, 70,,,
NATURATU,Nivel de impacto de ¿influencers¿ en el comportamiento de compra de servicios turísticos en la población ¿millennials¿ de la ciudad de Ibagué- Colombia, Trabajo de grado de maestría o especialidad clínica , MAXIMILIANO MACHADO HIGUERA, Universidad del Salvador,Yineth Rocío Bahamón Varón, Maestría en Administración de Negocios con Orientación en Dirección de Marketing, Tutor principal,, 2018, , 0,,,
NATURATU,DIAGNÓSTICO Y ACONDICIONAMIENTO DEL ACUEDUCTO VEREDA LAS HORMAS - MUNICIPIO DE CAJAMARCA, Trabajos de grado de pregrado , RICHARD CLAYTON DOUGHMAN III, UNIVERSIDAD DE IBAGUÉ,Stefanía Remicio y Juan Diego González, Ingeniería Civil, Tutor principal,,, Aprobada, 0,,,
NATURATU,Las P.A.TA.N.G. Como solución para las aguas residuales en el sector rural del municipio de Cajamarca, Trabajos de grado de pregrado , RICHARD CLAYTON DOUGHMAN III, UNIVERSIDAD DE IBAGUÉ,Jair Marroquin y Cristian Aguirre, Ingeniería Civil, Tutor principal,,, Aprobada, 0,,,
NATURATU,"DINÁMICA DE LA CALIDAD ATMOSFÉRICA A TRAVÉS DE UN GRADIENTE DE ELEVACIÓN EN LA CUENCA DEL RIO COMBEIMA, IBAGUE", Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITES , MIGUEL CESAR MORENO PALACIOS", UNIVERSIDAD DE IBAGUÉ,"DANIEL FELIPE PEDROZA SANTAFE, JUAN DAVID DIAZ MONSALVE", Administración Ambiental, Tutor principal,, 2018, Aprobada, 80,,,
NATURATU,DIVERSIDAD FUNCIONAL DEL ENSAMBLE DE AVES EN SEIS RESERVAS NATURALES DE LA SOCIEDAD CIVIL EN IBAGUE-TOLIMA Y SU RELACIÓN CON LAS CARACTERISTICAS DEL PAISAJE, Trabajos de grado de pregrado , YAIR GUILLERMO MOLINA MARTÌNEZ, UNIVERSIDAD DE IBAGUÉ,JUAN FELIPE DEL CASTILLO TELLEZ y MARLON DIAZ VARON, Administración ambiental, Tutor principal,, 2018, , 0,,,
NATURATU,DISEÑO DEL PLAN DE MANEJO DE RESIDUOS SÓLIDOS EN LA EMPRESA BIOCULTIVOS DE LA CIUDAD DE IBAGUÉ, Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Yuleidy Urueña Castañeda, Administración Ambiental, Tutor principal,, 2018, Aprobada, 80,,,
NATURATU,1.	PROPUESTA DE UNA POLÍTICA AMBIENTAL QUE ESTABLEZCA PRINCIPIOS ORIENTADORES AL SISTEMA DE GESTIÓN AMBIENTAL DE LA UNIVERSIDAD DE IBAGUÉ, Trabajos de grado de pregrado , BLANCA MYRIAM SALGUERO LONDONO, UNIVERSIDAD DE IBAGUÉ,Maria Paula Mesa Floréz, Administración Ambiental, Tutor principal,, 2018, Distincion meritoria, 74,,,
NATURATU,LÍQUENES CORTÍCOLAS COMO INDICADORES DE CALIDAD ATMOSFÉRICA EN RESERVAS DE LA SOCIEDAD CIVIL DEL MUNICIPIO DE IBAGUÉ, Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITES , MIGUEL CESAR MORENO PALACIOS", UNIVERSIDAD DE IBAGUÉ,"JUAN DAVID MORALES, ESTEFANIA DIAZ", Administración Ambiental, Tutor principal,, 2018, Aprobada, 75,,,
NATURATU,DIVERSIDAD FUNCIONAL DE LA AVIFAUNA EN RESERVAS NATURALES DEL MUNICIPIO DE IBAGUE Y SU RELACION CON LAS CARACTERISTICAS DEL PAISAJE, Trabajos de grado de pregrado ," MIGUEL CESAR MORENO PALACIOS , YAIR GUILLERMO MOLINA MARTINEZ", UNIVERSIDAD DE IBAGUÉ,"JUAN FELIPE DEL CASTILLO TELLEZ, MARLON DIAZ VARON", Administración Ambiental, Coturor/asesor,, 2018, Aprobada, 70,,,
NATURATU,El Teorema de Pi-Buckinghan y la Algebrización Hamiltoniana en un modelo matemático para la producción de biogás, Trabajo de grado de maestría o especialidad clínica ," HECTOR ANDRES GRANADA DIAZ , MAXIMILIANO MACHADO HIGUERA", UNIVERSIDAD DEL TOLIMA,Norman Raul Aya, Maestria en Matemáticas, Tutor principal,, 2020, Aprobada, 80,,,
NATURATU,"Estudio químico y metabolómico de los metabolitos secundarios presentes en los líquenes Ramalina celastri, Puntelia rudecta y Sticta especies por HPLC-MS/MS en tándem", Trabajo de grado de maestría o especialidad clínica ," CARLOS ARECHE , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,LAURA ALBORNOZ HUERTAS, Maestría en Ciencias Químicas, Coturor/asesor,, 2019, Aprobada, 146,,,
NATURATU,Aspectos metabólicos de hembras y machos de la araña Phoneutria boliviensis, Trabajos de grado de pregrado , LIDA MARCELA FRANCO PEREZ, UNIVERSIDAD DE IBAGUÉ,Carlos Eduardo Suarez, Administración Ambiental, Tutor principal,, 2018, Aprobada, 84,,,
NATURATU,Caracterizacion de la flora en el campus de la Universidad de Ibagué, Trabajos de grado de pregrado ," ALFREDO JOSE TORRES BENITEZ , MARIA ALEJANDRA RIVERA MONTALVO", UNIVERSIDAD DE IBAGUÉ,Camila Mesa, Administración Ambiental, Coturor/asesor,, 2019, Aprobada, 78,,,
NATURATU,"Ecología trófica de la nutria neotropical (Lontra longicaudis (Carnivora, Mustelidae) en el embalse El Quimbo (Huila, Colombia)", Trabajos de grado de pregrado , LIDA MARCELA FRANCO PEREZ, UNIVERSIDAD DEL TOLIMA,Jesica Paola Tique Ducuara, BIOLOGIA, Tutor principal,, 2018, Aprobada, 85,,,
NATURATU,Síntesis de sensores químicos para la determinación de iones mercúricos en soluciones acuosas, Trabajos de grado de pregrado , EDGAR ORLANDO NAGLES VIDAL, UNIVERSIDAD DE IBAGUÉ,Laura Stephanie Tao García, Administración ambiental, Coturor/asesor,, 2018, Aprobada, 50,,,
NATURATU,DESARROLLO DE UN SENSOR ELECTROQUÍMICO PARA DETECTAR EL COLORANTE SINTÉTICO AMARILLO CREPUSCULO EN ALIMENTOS USANDO UN ELECTRODO DE CARBONO VÍTREO MODIFICADO, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,ANDRES MAURICIO PEÑA GONZALEZ, Administración Ambiental, Coturor/asesor,, 2018, Distincion meritoria, 38,,,
NATURATU,DESARROLLO DE UN SENSOR ELECTROQUÍMICO PARA DETECTAR EL COLORANTE SINTÉTICO AMARILLO CREPUSCULO EN ALIMENTOS USANDO UN ELECTRODO DE CARBONO VÍTREO MODIFICADO, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,ANDRES MAURICIO PEÑA GONZALEZ, Administración ambiental, Tutor principal,, 2018, Distincion meritoria, 37,,,
NATURATU,IDENTIFICACIÓN QUÍMICA DE LOS METABOLITOS SECUNDARIOS DE Usnea rubicunda STIRTON Y EVALUACIÓN DE SU ACTIVIDAD ANTIOXIDANTE, Trabajos de grado de pregrado , EDGAR ORLANDO NAGLES VIDAL, UNIVERSIDAD DE IBAGUÉ,Kelly Urrea, Administración ambiental, Coturor/asesor,, 2018, Aprobada, 60,,,
NATURATU,IDENTIFICACIÓN DE PESTICIDAS EN CULTIVOS DE ARROZ MEDIANTE TÉCNICAS CROMATOGRAFICAS, Trabajos de grado de pregrado , EDGAR ORLANDO NAGLES VIDAL, UNIVERSIDAD DE IBAGUÉ,YENNIFER ANDREA QUIROGA GUTIERREZ , Administración ambiental, Coturor/asesor,, 2018, Aprobada, 60,,,
NATURATU,DETERMINACIÓN Y CUANTIFICACIÓN DE TIMEROSAL EN VACUNAS UTILIZADAS EN EL MUNICIPIO DE IBAGUÉ, Trabajos de grado de pregrado , EDGAR ORLANDO NAGLES VIDAL, UNIVERSIDAD DE IBAGUÉ,Camila Gonzalez, Administración ambiental, Coturor/asesor,, 2018, Aprobada, 60,,,
NATURATU,DESARROLLO DE NUEVOS QUIMIOSENSORES PARA LA DETERMINACIÓN DE IONES Hg2+, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,JUDITH ANDREA JIMÉNEZ GONZÁLEZ, Administración Ambiental, Tutor principal,, 2018, Distincion meritoria, 42,,,
NATURATU,SÍNTESIS DE SENSORES QUÍMICOS PARA LA DETERMINACIÓN DE IONES MERCÚRICOS EN SOLUCIONES ACUOSAS, Trabajos de grado de pregrado ," EDGAR ORLANDO NAGLES VIDAL , OLIMPO JOSE GARCIA BELTRAN", UNIVERSIDAD DE IBAGUÉ,LAURA STEPHANIE TAO GARCÍA , Administración Ambiental, Tutor principal,, 2018, Distincion meritoria, 56,,,
NATURATU,Desarrollo de nuevos quimiosensores para la determinación de iones Hg2+, Trabajos de grado de pregrado , EDGAR ORLANDO NAGLES VIDAL, UNIVERSIDAD DE IBAGUÉ,Judith Andrea Jimenez Gonzalez, Administración ambiental, Coturor/asesor,, 2018, Aprobada, 50,,,
